,state,date,total_co2
686,AR,2012-03-01,3017558.6220000004
687,AR,2012-04-01,2502938.756
688,AR,2012-05-01,3736915.474
689,AR,2012-06-01,3931687.317
690,AR,2012-07-01,4029381.767
691,AR,2012-08-01,3981997.831
692,AR,2012-09-01,3387994.097
693,AR,2012-10-01,2533512.498
694,AR,2012-11-01,2729942.105
695,AR,2012-12-01,3116731.36
696,AR,2013-01-01,3547819.0829999996
697,AR,2013-02-01,3115391.3049999997
698,AR,2013-03-01,3167376.088
699,AR,2013-04-01,2791944.194
700,AR,2013-05-01,3047891.827
701,AR,2013-06-01,3829522.269
702,AR,2013-07-01,4210026.884
703,AR,2013-08-01,4252611.808
704,AR,2013-09-01,3647321.341
705,AR,2013-10-01,2780423.2139999997
706,AR,2013-11-01,2466639.0190000003
707,AR,2013-12-01,3663572.252
708,AR,2014-01-01,3750787.403
709,AR,2014-02-01,3497629.657
710,AR,2014-03-01,3424809.05
711,AR,2014-04-01,2872286.161
712,AR,2014-05-01,3486503.244
713,AR,2014-06-01,3566850.893
714,AR,2014-07-01,3550144.505
715,AR,2014-08-01,3899060.326
716,AR,2014-09-01,3310919.414
717,AR,2014-10-01,2942826.007
718,AR,2014-11-01,2780324.053
719,AR,2014-12-01,2620873.226
720,AR,2015-01-01,2283022.656
721,AR,2015-02-01,3017936.998
722,AR,2015-03-01,2341851.634
723,AR,2015-04-01,1914101.895
724,AR,2015-05-01,2578622.015
725,AR,2015-06-01,3117161.402
726,AR,2015-07-01,3608442.533
727,AR,2015-08-01,3191687.447
728,AR,2015-09-01,2926737.435
729,AR,2015-10-01,1957055.11
730,AR,2015-11-01,1579057.724
731,AR,2015-12-01,1590520.291
732,AR,2016-01-01,2611689.01
733,AR,2016-02-01,2132284.5870000003
734,AR,2016-03-01,2162766.199
735,AR,2016-04-01,1905081.543
736,AR,2016-05-01,1715661.938
