state,date,monthly_energy_prod,monthly_energy_use,yearly_energy_prod,yearly_energy_use,monthly_energy_flow,yearly_energy_flow
NC,1977-02,11073.375,126130.55555555556,170433,1586305,-115057.18055555556,-1415872
NC,1977-03,11386.3125,126736.70833333334,170433,1586305,-115350.39583333334,-1415872
NC,1977-04,11699.25,127342.86111111111,170433,1586305,-115643.61111111111,-1415872
NC,1977-05,12012.1875,127949.01388888889,170433,1586305,-115936.82638888889,-1415872
NC,1977-06,12325.125,128555.16666666667,170433,1586305,-116230.04166666667,-1415872
NC,1977-07,12638.0625,129161.31944444445,170433,1586305,-116523.25694444445,-1415872
NC,1977-08,12951.0,129767.47222222223,170433,1586305,-116816.47222222223,-1415872
NC,1977-09,13263.9375,130373.625,170433,1586305,-117109.6875,-1415872
NC,1977-10,13576.875,130979.77777777778,170433,1586305,-117402.90277777778,-1415872
NC,1977-11,13889.8125,131585.93055555556,170433,1586305,-117696.11805555556,-1415872
NC,1977-12,14202.75,132192.08333333334,170433,1586305,-117989.33333333334,-1415872
NC,1978-01,14613.472222222223,132330.8541666667,229577,1606288,-117717.38194444447,-1376711
NC,1978-02,15024.194444444445,132469.625,229577,1606288,-117445.43055555556,-1376711
NC,1978-03,15434.916666666668,132608.39583333334,229577,1606288,-117173.47916666667,-1376711
NC,1978-04,15845.638888888889,132747.1666666667,229577,1606288,-116901.5277777778,-1376711
NC,1978-05,16256.361111111111,132885.9375,229577,1606288,-116629.57638888889,-1376711
NC,1978-06,16667.083333333336,133024.70833333334,229577,1606288,-116357.625,-1376711
NC,1978-07,17077.805555555555,133163.4791666667,229577,1606288,-116085.67361111112,-1376711
NC,1978-08,17488.527777777777,133302.25,229577,1606288,-115813.72222222222,-1376711
NC,1978-09,17899.25,133441.02083333334,229577,1606288,-115541.77083333334,-1376711
NC,1978-10,18309.972222222223,133579.7916666667,229577,1606288,-115269.81944444447,-1376711
NC,1978-11,18720.694444444445,133718.5625,229577,1606288,-114997.86805555556,-1376711
NC,1978-12,19131.416666666668,133857.33333333334,229577,1606288,-114725.91666666667,-1376711
NC,1979-01,19000.805555555555,134312.88194444444,210769,1671887,-115312.07638888888,-1461118
NC,1979-02,18870.194444444445,134768.43055555556,210769,1671887,-115898.23611111112,-1461118
NC,1979-03,18739.583333333336,135223.9791666667,210769,1671887,-116484.39583333334,-1461118
NC,1979-04,18608.972222222223,135679.52777777778,210769,1671887,-117070.55555555556,-1461118
NC,1979-05,18478.36111111111,136135.07638888888,210769,1671887,-117656.71527777777,-1461118
NC,1979-06,18347.75,136590.625,210769,1671887,-118242.875,-1461118
NC,1979-07,18217.13888888889,137046.17361111112,210769,1671887,-118829.03472222223,-1461118
NC,1979-08,18086.527777777777,137501.72222222222,210769,1671887,-119415.19444444444,-1461118
NC,1979-09,17955.916666666664,137957.2708333333,210769,1671887,-120001.35416666666,-1461118
NC,1979-10,17825.305555555555,138412.81944444444,210769,1671887,-120587.51388888888,-1461118
NC,1979-11,17694.694444444445,138868.36805555556,210769,1671887,-121173.67361111112,-1461118
NC,1979-12,17564.083333333332,139323.91666666666,210769,1671887,-121759.83333333333,-1461118
NC,1980-01,17215.930555555555,138876.15277777778,160635,1607409,-121660.22222222222,-1446774
NC,1980-02,16867.777777777777,138428.38888888888,160635,1607409,-121560.6111111111,-1446774
NC,1980-03,16519.625,137980.625,160635,1607409,-121461.0,-1446774
NC,1980-04,16171.47222222222,137532.8611111111,160635,1607409,-121361.38888888888,-1446774
NC,1980-05,15823.319444444443,137085.09722222222,160635,1607409,-121261.77777777778,-1446774
NC,1980-06,15475.166666666666,136637.3333333333,160635,1607409,-121162.16666666664,-1446774
NC,1980-07,15127.013888888889,136189.56944444444,160635,1607409,-121062.55555555555,-1446774
NC,1980-08,14778.861111111111,135741.80555555556,160635,1607409,-120962.94444444445,-1446774
NC,1980-09,14430.708333333332,135294.04166666666,160635,1607409,-120863.33333333333,-1446774
NC,1980-10,14082.555555555555,134846.27777777778,160635,1607409,-120763.72222222222,-1446774
NC,1980-11,13734.402777777777,134398.51388888888,160635,1607409,-120664.1111111111,-1446774
NC,1980-12,13386.25,133950.75,160635,1607409,-120564.5,-1446774
NC,1981-01,13356.951388888889,133707.08333333334,156416,1572321,-120350.13194444445,-1415905
NC,1981-02,13327.652777777777,133463.41666666666,156416,1572321,-120135.76388888888,-1415905
